"","Unnamed..0","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"25",2097,1985,38053,42.9794104755317,24.7467039712637,76.3195039872592,365,0.345205479452055,0.347945205479452,0.271232876712329,0.0356164383561644,0,0,188,135,70,0,0,0.208219178082192,0.791780821917808,0,0,47.742475,103.403215,46.1877719664428,28.3605553342715,75.8707721863693
"26",2098,1985,34021,48.2934945525851,33.4216192043454,76.0801402531665,363,0.584022038567493,0.261707988980716,0.0826446280991736,0.0495867768595041,0.0220385674931129,0,221,126,45,0.18732782369146,0,0.553719008264463,0.239669421487603,0,0.0192837465564738,40.282503,74.703724,46.1877719664428,28.3605553342715,75.8707721863693
"27",2099,1985,39151,60.2247763258879,49.0873063807526,79.7749775870824,365,0.46027397260274,0.391780821917808,0.131506849315068,0.0164383561643836,0,0,169,109,54,0.00273972602739726,0.126027397260274,0.421917808219178,0.438356164383562,0,0.010958904109589,40.814131,81.365667,46.1877719664428,28.3605553342715,75.8707721863693
"28",2100,1985,56001,56.4521479506475,46.7534894205556,70.649965424341,35,0.914285714285714,0.0857142857142857,0,0,0,0,71,49,36,0,0,0,0,0,1,41.665514,105.721883,46.1877719664428,28.3605553342715,75.8707721863693
"29",2101,1985,47161,60.5275202099709,47.6137806548886,83.5908599798963,353,0.71671388101983,0.138810198300283,0.124645892351275,0.0198300283286119,0,0,200,116,27,0,0,0,1,0,0,36.511756,87.851548,46.1877719664428,28.3605553342715,75.8707721863693
"30",2102,1985,21223,46.8889059939649,29.3992168665698,79.5318603510816,363,0.735537190082645,0.203856749311295,0.0550964187327824,0.00550964187327824,0,0,163,79,31,0,0,0,1,0,0,38.618193,85.355171,46.1877719664428,28.3605553342715,75.8707721863693
"31",2103,1985,23017,57.9947371985141,48.3257975741271,73.2383167885293,365,0.279452054794521,0.4,0.306849315068493,0.0136986301369863,0,0,162,123,77,0,0,0,1,0,0,44.494585,70.734688,46.1877719664428,28.3605553342715,75.8707721863693
"32",2104,1985,6053,59.6341484220142,48.2805105402941,78.8448103745788,365,0.879452054794521,0.0958904109589041,0.0219178082191781,0.00273972602739726,0,0,154,57,38,0,0.205479452054795,0.794520547945205,0,0,0,36.240107,121.315573,46.1877719664428,28.3605553342715,75.8707721863693
"33",2105,1985,39017,57.0035238752277,46.8321116662696,71.5994807493115,365,0.523287671232877,0.367123287671233,0.0931506849315069,0.0164383561643836,0,0,197,101,49,0.00273972602739726,0,0.438356164383562,0.558904109589041,0,0,39.439915,84.565397,46.1877719664428,28.3605553342715,75.8707721863693
"34",2106,1985,13215,52.359478599468,37.2613408141185,77.9354698571582,275,0.723636363636364,0.232727272727273,0.0436363636363636,0,0,0,129,80,43,0,0,1,0,0,0,32.510197,84.874946,46.1877719664428,28.3605553342715,75.8707721863693
"35",2107,1985,23003,50.596577140609,35.3289530030564,76.3933527609523,365,0.471232876712329,0.293150684931507,0.232876712328767,0.00273972602739726,0,0,162,114,53,0,0,0,0.745205479452055,0,0.254794520547945,46.727057,68.64941,46.1877719664428,28.3605553342715,75.8707721863693
"36",2108,1985,26125,55.348222416372,41.666190286722,78.8303655523827,365,0.73972602739726,0.227397260273973,0.0328767123287671,0,0,0,150,71,37,0.0767123287671233,0.123287671232877,0.473972602739726,0.326027397260274,0,0,42.660452,83.38421,46.1877719664428,28.3605553342715,75.8707721863693
"37",2109,1985,47037,53.4551176781246,40.6610647280646,75.6048854858377,365,0.463013698630137,0.528767123287671,0.00821917808219178,0,0,0,122,74,52,0.717808219178082,0,0.180821917808219,0.101369863013699,0,0,36.169129,86.78479,46.1877719664428,28.3605553342715,75.8707721863693
"38",2110,1985,36027,47.5143187923351,26.9069279402271,78.1151097948492,364,0.796703296703297,0.156593406593407,0.0467032967032967,0,0,0,148,71,23,0,0,0.365384615384615,0.634615384615385,0,0,41.755009,73.739951,46.1877719664428,28.3605553342715,75.8707721863693
"39",2111,1985,55087,63.9714925932476,57.4304909800942,74.6923625940092,183,0.819672131147541,0.153005464480874,0.0218579234972678,0.00546448087431694,0,0,156,71,37,0,0,1,0,0,0,44.418226,88.464988,46.1877719664428,28.3605553342715,75.8707721863693
"40",2112,1985,39121,49.9326976965907,33.9387496276016,76.5813299650946,18,0.777777777777778,0.222222222222222,0,0,0,0,57,54,40,0,0,0,0,0,1,39.767232,81.452604,46.1877719664428,28.3605553342715,75.8707721863693
"41",2113,1985,25021,60.4568829973062,49.4874835283967,79.5375932225764,365,0.561643835616438,0.315068493150685,0.0849315068493151,0.0246575342465753,0.0136986301369863,0,224,105,47,0,0,0.473972602739726,0.526027397260274,0,0,42.169703,71.179875,46.1877719664428,28.3605553342715,75.8707721863693
"42",2114,1985,54069,47.6495788464117,25.1213254260758,79.4168868313015,365,0.323287671232877,0.419178082191781,0.238356164383562,0.0191780821917808,0,0,190,125,67,0.0301369863013699,0.0273972602739726,0.30958904109589,0.627397260273973,0,0.00547945205479452,40.098932,80.620728,46.1877719664428,28.3605553342715,75.8707721863693
"43",2115,1985,25015,63.0537208599264,55.6017097057968,74.8775443709613,365,0.534246575342466,0.293150684931507,0.136986301369863,0.0301369863013699,0.00547945205479452,0,212,114,47,0,0,0.367123287671233,0.632876712328767,0,0,42.339459,72.663694,46.1877719664428,28.3605553342715,75.8707721863693
"44",2116,1985,21015,48.0710314205946,27.7538447122549,78.9377625629294,360,0.5,0.325,0.158333333333333,0.0166666666666667,0,0,183,115,51,0,0.0694444444444444,0.347222222222222,0.583333333333333,0,0,38.974595,84.731444,46.1877719664428,28.3605553342715,75.8707721863693
"45",2117,1985,45087,62.5226547326623,55.4999800327482,73.9456756980798,311,0.758842443729904,0.19935691318328,0.0385852090032154,0.00321543408360129,0,0,151,80,37,0,0,1,0,0,0,34.690514,81.615831,46.1877719664428,28.3605553342715,75.8707721863693
"46",2118,1985,8045,62.5961908733312,53.2947748452861,78.1348608910469,111,0.900900900900901,0.0810810810810811,0.018018018018018,0,0,0,108,46,28,0,0,0,0,0,1,39.599352,107.90978,46.1877719664428,28.3605553342715,75.8707721863693
"47",2119,1985,56041,64.282712532978,57.0296180279758,75.7130675230254,34,1,0,0,0,0,0,48,39,30,0,0,0,0,0,1,41.284726,110.558947,46.1877719664428,28.3605553342715,75.8707721863693
"48",2120,1985,45011,64.3346436607061,55.4836535458347,79.6291284287227,29,1,0,0,0,0,0,40,39,30,0,0.0344827586206896,0.862068965517241,0.103448275862069,0,0,33.26068,81.433753,46.1877719664428,28.3605553342715,75.8707721863693
"49",2121,1985,42077,55.952602458252,43.4918775559797,77.6944741616646,365,0.665753424657534,0.252054794520548,0.0684931506849315,0.0136986301369863,0,0,174,97,43,0.2,0.271232876712329,0.419178082191781,0.10958904109589,0,0,40.614241,75.590627,46.1877719664428,28.3605553342715,75.8707721863693
"50",2122,1985,35045,46.3519281768976,25.2422113413769,76.6385799975363,227,0.462555066079295,0.343612334801762,0.185022026431718,0.00881057268722467,0,0,153,107,56,0.145374449339207,0.0484581497797357,0,0.806167400881057,0,0,36.511625,108.324578,46.1877719664428,28.3605553342715,75.8707721863693
"51",2123,1985,24021,62.6102588756418,53.9438216102597,77.9656987611853,120,0.883333333333333,0.05,0.05,0.0166666666666667,0,0,169,77,29,0,0,1,0,0,0,39.470427,77.397627,46.1877719664428,28.3605553342715,75.8707721863693
"52",2124,1985,18037,63.6836319278402,54.1715448516261,79.6711660235149,57,0.614035087719298,0.385964912280702,0,0,0,0,66,63,42,0,0,0,0,0,1,38.373344,86.873385,46.1877719664428,28.3605553342715,75.8707721863693
"53",2125,1985,48135,49.0598352602669,31.2243895726555,77.6958223011871,122,0.975409836065574,0.0245901639344262,0,0,0,0,54,41,25,0,0,0,0,0,1,31.865301,102.542507,46.1877719664428,28.3605553342715,75.8707721863693
